x,y,fac1,fac2,fac3,fac4
605861,3996490,-0.79398,-1.04211,-0.29282,-0.67254
598630,3996540,-0.7848,0.68096,0.3143,0.77658
596663,3996680,-0.26799,-0.85514,-0.48372,-0.22135
598283,3996690,-0.9799,-1.74803,-0.10401,6.07438
592803,3996890,0.14374,1.95298,-1.25702,-1.50374
598463,3997150,0.27655,-1.23791,-0.91353,0.46249
591789,3997260,0.17275,0.98985,-0.45292,-0.45222
597851,3997820,-0.33264,0.54696,-0.83993,-0.85644
599756,3997860,0.31606,-0.87014,-0.57805,0.24153
602635,3998050,-0.40897,-0.95305,-0.52348,-0.33483
603264,3998090,-0.82853,-1.10798,-0.54957,-0.50945
593554,3998120,0.321,1.25051,-0.81358,-2.03628
602230,3998270,-1.09183,-0.49645,-0.35564,-0.65509
597775,3998530,-0.49331,-0.30037,-0.64712,0.24724
598654,3998550,-0.81858,-0.47231,-0.50679,-0.86067
593446,3998720,-1.1935,-0.14688,-0.60819,-0.75269
593232,3998880,-0.41953,0.82513,-1.06742,-1.27081
601519,3999060,-1.14683,-0.77757,-0.06846,-0.4507
602036,3999210,-0.8529,-0.39173,-0.36701,-0.83972
600992,3999390,-1.12275,-0.55833,-0.32012,0.16582
594256,3999440,-0.66936,-0.53402,-0.28238,-0.02456
599608,3999570,-0.09642,-1.1104,-0.51729,-0.42602
600866,3999580,-0.97342,-0.65497,-0.34271,-0.22749
598464,3999870,-0.86963,0.48356,-0.08381,0.31068
600243,3999930,-1.468,0.26092,-0.49495,-0.90805
598697,4000020,-1.36212,-0.79908,-0.24382,-0.24566
593736,4000120,-0.3882,0.07371,-0.63808,-0.62465
592033,4000240,-0.82977,-0.15801,-0.56992,-0.3515
604753,4000260,-0.67526,-1.04537,-0.49653,-0.00897
590682,4000320,-0.70777,-0.18921,-0.58762,0.44679
596066,4000370,-0.6328,0.01647,-0.57111,2.79781
604492,4000400,-1.48008,-0.80034,-0.24138,-0.30341
594484,4000440,-0.29047,0.95108,-0.67965,0.15637
595826,4000580,-0.76847,0.62097,-0.75723,0.73838
592294,4000680,-1.23357,-0.56998,-0.59607,-0.98649
594567,4000840,-0.75446,-0.82831,-0.3461,-1.01494
598625,4000860,-1.19281,-0.60914,-0.24298,-0.37873
596637,4001320,-0.89858,0.15006,-0.4458,-0.30936
596849,4001330,-0.88993,0.2853,-0.12891,0.72189
597407,4001400,0.03421,-0.40086,-0.4007,1.80676
603950,4001470,-0.69378,-0.74862,-0.25713,0.05981
590483,4001480,0.0349,0.36682,-0.67482,-0.66863
604221,4001520,-0.98828,-0.77444,-0.23344,-0.31942
590698,4001530,-0.75302,-0.74839,-0.44576,-1.01199
593374,4001660,-0.42545,-1.01841,-0.36816,0.0145
597673,4002270,-0.15521,-1.03387,-0.81635,-1.59658
